t_name	FPKM	H3K27ac	H3K27me3	H3K4me1	H3K4me3	H3K9ac
FBtr0078937	0.0	-1.77668	-6.806080000000001	-4.3382	1.40816	-0.0597596
FBtr0335430	0.0	-1.77668	-6.806080000000001	-4.3382	1.40816	-0.0597596
FBtr0078935	100.625885	-1.77668	-6.806080000000001	-4.3382	1.40816	-0.0597596
FBtr0335429	0.0	-1.77668	-6.806080000000001	-4.3382	1.40816	-0.0597596
FBtr0078936	3.331687	-1.77668	-6.806080000000001	-4.3382	1.40816	-0.0597596
FBtr0299947	0.23803600000000003	-1.9717200000000001	4.62341	4.146719999999999	0.31154299999999996	-0.0877827
FBtr0078928	51.453686	2.44225	-6.11126	18.752	5.39318	-0.0816462
FBtr0335239	0.0	1.76393	-1.74065	-1.58815	0.0415934	-0.024759299999999998
FBtr0303867	0.0	-0.24082699999999999	-1.39828	-3.91805	-2.53356	-0.0465305
FBtr0112726	0.0	-2.2313099999999997	5.5778300000000005	-2.01641	0.0807367	-0.0732846
FBtr0112568	0.0	-2.86873	-0.68511	-2.86402	-1.8814400000000002	-0.0518617
FBtr0078929	0.0	0.705047	1.23632	-3.8018199999999998	-0.8219209999999999	-0.0797688
FBtr0303865	0.0	0.705047	1.23632	-3.8018199999999998	-0.8219209999999999	-0.0797688
FBtr0303866	0.0	-2.0192099999999997	2.02517	-3.28314	-1.02873	-0.0752177
FBtr0078896	0.0	-1.8076900000000002	-6.17007	-5.019830000000001	-3.34025	-0.07180399999999999
FBtr0346214	0.0	-1.31959	-3.3721099999999997	-4.36236	0.179314	-0.0681122
FBtr0339604	0.0	0.805652	-0.731396	-1.08233	0.461621	-0.0169232
FBtr0339605	0.0	0.805652	-0.731396	-1.08233	0.461621	-0.0169232
FBtr0300474	0.0	0.998353	-5.97724	-3.1026	3.7907800000000003	-0.055361099999999996
FBtr0078854	0.0	0.998353	-5.97724	-3.1026	3.7907800000000003	-0.055361099999999996
FBtr0078855	0.0	0.998353	-5.97724	-3.1026	3.7907800000000003	-0.055361099999999996
FBtr0339397	0.0	0.998353	-5.97724	-3.1026	3.7907800000000003	-0.055361099999999996
FBtr0339395	0.0	-0.390833	-1.4818	-3.8545199999999995	-1.5825200000000001	-0.06676060000000002
FBtr0346413	0.0	-1.42695	-2.26766	-2.87665	0.50551	-0.0533553
FBtr0078895	0.0	-0.8680110000000001	-0.206763	-0.816145	5.39396	-0.0533887
FBtr0078894	69.292603	-0.8680110000000001	-0.206763	-0.816145	5.39396	-0.0533887
FBtr0301297	0.0	-0.8680110000000001	-0.206763	-0.816145	5.39396	-0.0533887
FBtr0336457	0.0	-0.8680110000000001	-0.206763	-0.816145	5.39396	-0.0533887
FBtr0078856	39.161209	15.8768	-5.21553	-0.8792469999999999	21.0839	-0.0777187
FBtr0078857	68.208504	15.8768	-5.21553	-0.8792469999999999	21.0839	-0.0777187
FBtr0305312	2.1278330000000003	15.8768	-5.21553	-0.8792469999999999	21.0839	-0.0777187
FBtr0336456	1.220308	15.8768	-5.21553	-0.8792469999999999	21.0839	-0.0777187
